date,btc_close,eth_close,sp500_close,dxy_close,gold_close,active_addresses,interest_rate,bitcoin,fear_greed,btc_logret,btc_rsi14
2020-01-02,,,,,,389706.0,1.55,42.0,39.0,,
2020-01-03,,,,,,389706.0,1.55,42.0,38.0,,
2020-01-04,,,,,,389706.0,1.55,42.0,38.0,,
2020-01-05,,,,,,459065.0,1.55,42.0,39.0,,
2020-01-06,,,,,,459065.0,1.55,42.0,41.0,,
2020-01-07,,,,,,459065.0,1.55,42.0,40.0,,
2020-01-08,,,,,,459065.0,1.55,42.0,51.0,,
2020-01-09,,,,,,553318.0,1.55,42.0,44.0,,
2020-01-10,,,,,,553318.0,1.55,42.0,41.0,,
2020-01-11,,,,,,553318.0,1.55,42.0,50.0,,
2020-01-12,,,,,,553318.0,1.55,42.0,45.0,,
2020-01-13,,,,,,501600.0,1.55,42.0,49.0,,
2020-01-14,,,,,,501600.0,1.55,42.0,56.0,,
2020-01-15,,,,,,501600.0,1.55,42.0,54.0,,
2020-01-16,,,,,,501600.0,1.55,42.0,55.0,,
2020-01-17,,,,,,562153.0,1.55,42.0,54.0,,
2020-01-18,,,,,,562153.0,1.55,42.0,51.0,,
2020-01-19,,,,,,562153.0,1.55,42.0,53.0,,
2020-01-20,,,,,,562153.0,1.55,42.0,48.0,,
2020-01-21,,,,,,544525.0,1.55,42.0,49.0,,
2020-01-22,,,,,,544525.0,1.55,42.0,52.0,,
2020-01-23,,,,,,544525.0,1.55,42.0,49.0,,
2020-01-24,,,,,,544525.0,1.55,42.0,40.0,,
2020-01-25,,,,,,461312.0,1.55,42.0,41.0,,
2020-01-26,,,,,,461312.0,1.55,42.0,42.0,,
2020-01-27,,,,,,461312.0,1.55,42.0,50.0,,
2020-01-28,,,,,,461312.0,1.55,42.0,54.0,,
2020-01-29,,,,,,573372.0,1.55,42.0,57.0,,
2020-01-30,,,,,,573372.0,1.55,42.0,57.0,,
2020-01-31,,,,,,573372.0,1.55,42.0,55.0,,
2020-02-01,,,,,,573372.0,1.58,42.0,57.0,,
2020-02-02,,,,,,501222.0,1.58,42.0,57.0,,
2020-02-03,,,,,,501222.0,1.58,42.0,59.0,,
2020-02-04,,,,,,501222.0,1.58,42.0,56.0,,
2020-02-05,,,,,,501222.0,1.58,42.0,53.0,,
2020-02-06,,,,,,552411.0,1.58,42.0,61.0,,
2020-02-07,,,,,,552411.0,1.58,42.0,56.0,,
2020-02-08,,,,,,552411.0,1.58,42.0,56.0,,
2020-02-09,,,,,,552411.0,1.58,42.0,56.0,,
2020-02-10,,,,,,526825.0,1.58,42.0,57.0,,
2020-02-11,,,,,,526825.0,1.58,42.0,52.0,,
2020-02-12,,,,,,526825.0,1.58,42.0,61.0,,
2020-02-13,,,,,,526825.0,1.58,42.0,65.0,,
2020-02-14,,,,,,564227.0,1.58,42.0,63.0,,
2020-02-15,,,,,,564227.0,1.58,42.0,64.0,,
2020-02-16,,,,,,564227.0,1.58,42.0,59.0,,
2020-02-17,,,,,,564227.0,1.58,42.0,49.0,,
2020-02-18,,,,,,569291.0,1.58,42.0,53.0,,
2020-02-19,,,,,,569291.0,1.58,42.0,50.0,,
2020-02-20,,,,,,569291.0,1.58,42.0,44.0,,
2020-02-21,,,,,,569291.0,1.58,42.0,44.0,,
2020-02-22,,,,,,525819.0,1.58,42.0,43.0,,
2020-02-23,,,,,,525819.0,1.58,42.0,46.0,,
2020-02-24,,,,,,525819.0,1.58,42.0,46.0,,
2020-02-25,,,,,,525819.0,1.58,42.0,44.0,,
2020-02-26,,,,,,588558.0,1.58,42.0,41.0,,
2020-02-27,,,,,,588558.0,1.58,42.0,39.0,,
2020-02-28,,,,,,588558.0,1.58,42.0,40.0,,
2020-02-29,,,,,,588558.0,1.58,42.0,38.0,,
2020-03-01,,,,,,505885.0,1.58,42.0,39.0,,
2020-03-02,,,,,,505885.0,1.58,42.0,38.0,,
2020-03-03,,,,,,505885.0,1.58,42.0,38.0,,
2020-03-04,,,,,,505885.0,1.58,42.0,40.0,,
2020-03-05,,,,,,603996.0,1.58,42.0,41.0,,
2020-03-06,,,,,,603996.0,1.58,42.0,39.0,,
2020-03-07,,,,,,603996.0,1.58,42.0,38.0,,
2020-03-08,,,,,,603996.0,1.58,42.0,33.0,,
2020-03-09,,,,,,606002.0,1.58,42.0,17.0,,
2020-03-10,,,,,,606002.0,1.58,42.0,16.0,,
2020-03-11,,,,,,606002.0,1.58,42.0,17.0,,
2020-03-12,,,,,,606002.0,1.58,42.0,14.0,,
2020-03-13,,,,,,606002.0,1.58,42.0,10.0,,
2020-03-14,,,,,,517382.0,1.58,42.0,8.0,,
2020-03-15,,,,,,517382.0,1.58,99.0,12.0,,
2020-03-16,,,,,,517382.0,1.58,99.0,9.0,,
2020-03-17,,,,,,517382.0,1.58,99.0,8.0,,
2020-03-18,,,,,,476482.0,1.58,99.0,11.0,,
2020-03-19,,,,,,476482.0,1.58,99.0,12.0,,
2020-03-20,,,,,,476482.0,1.58,99.0,9.0,,
2020-03-21,,,,,,476482.0,1.58,99.0,9.0,,
2020-03-22,,,,,,409829.0,1.58,99.0,11.0,,
2020-03-23,,,,,,409829.0,1.58,99.0,10.0,,
2020-03-24,,,,,,409829.0,1.58,99.0,12.0,,
2020-03-25,,,,,,409829.0,1.58,99.0,13.0,,
2020-03-26,,,,,,539881.0,1.58,99.0,14.0,,
2020-03-27,,,,,,539881.0,1.58,99.0,12.0,,
2020-03-28,,,,,,539881.0,1.58,99.0,8.0,,
2020-03-29,,,,,,539881.0,1.58,99.0,12.0,,
2020-03-30,,,,,,535787.0,1.58,99.0,10.0,,
2020-03-31,,,,,,535787.0,1.58,99.0,12.0,,
2020-04-01,,,,,,535787.0,0.05,99.0,12.0,,
2020-04-02,,,,,,535787.0,0.05,99.0,14.0,,
2020-04-03,,,,,,548300.0,0.05,99.0,14.0,,
2020-04-04,,,,,,548300.0,0.05,99.0,12.0,,
2020-04-05,,,,,,548300.0,0.05,99.0,12.0,,
2020-04-06,,,,,,548300.0,0.05,99.0,12.0,,
2020-04-07,,,,,,598670.0,0.05,99.0,20.0,,
2020-04-08,,,,,,598670.0,0.05,99.0,21.0,,
2020-04-09,,,,,,598670.0,0.05,99.0,22.0,,
2020-04-10,,,,,,598670.0,0.05,99.0,15.0,,
2020-04-11,,,,,,474445.0,0.05,99.0,15.0,,
