,btc_close,active_addresses,dxy_close,eth_close,fear_greed,gold_close,interest_rate,sp500_close,trend,btc_log_return,btc_rsi
2015-02-07,227.7539978027344,159160.0,94.61666361490887,320.8840026855469,30.0,1236.2000325520833,0.11,2052.5599772135415,78.14285714285714,0.02439119754380642,42.51160806949205
2015-02-08,223.41200256347656,167340.25,94.53333028157553,320.8840026855469,30.0,1238.5000406901042,0.11,2049.6499837239585,78.0,-0.019248477480192965,38.57515442058774
2015-02-09,220.11000061035156,175520.5,94.4499969482422,320.8840026855469,30.0,1240.800048828125,0.11,2046.739990234375,78.85714285714286,-0.01489018780860793,27.034149484620713
2015-02-10,219.83900451660156,183700.75,94.76000213623048,320.8840026855469,30.0,1231.5999755859375,0.11,2068.590087890625,79.71428571428571,-0.0012319433610069224,29.504378953216673
2015-02-11,219.18499755859375,191881.0,94.98999786376952,320.8840026855469,30.0,1219.0,0.11,2068.530029296875,80.57142857142857,-0.002979369869067089,40.5024148695754
2015-02-12,221.76400756835935,219139.0,94.08999633789062,320.8840026855469,30.0,1220.0999755859375,0.11,2088.47998046875,81.42857142857143,0.01169767654801286,42.63136760420828
2015-02-13,235.427001953125,246397.0,94.1999969482422,320.8840026855469,30.0,1226.5,0.11,2096.989990234375,82.28571428571429,0.05978710744575167,55.21564629350557
2015-02-14,257.3210144042969,273655.0,94.16499710083009,320.8840026855469,30.0,1221.8999938964844,0.11,2097.8275146484375,83.14285714285714,0.08892349379425551,70.08293602923482
2015-02-15,234.8249969482422,300913.0,94.12999725341798,320.8840026855469,30.0,1217.2999877929688,0.11,2098.6650390625,84.0,-0.09148384584019954,53.498958716891195
2015-02-16,233.8430023193359,270925.75,94.09499740600587,320.8840026855469,30.0,1212.6999816894531,0.11,2099.5025634765625,82.0,-0.004190582960674172,47.84881915220837
2015-02-17,243.61000061035156,240938.5,94.05999755859376,320.8840026855469,30.0,1208.0999755859375,0.11,2100.340087890625,80.0,0.040918628477718454,58.110167649715905
2015-02-18,236.3260040283203,210951.25,94.1999969482422,320.8840026855469,30.0,1199.699951171875,0.11,2099.679931640625,78.0,-0.03035636359272711,54.40117647709368
2015-02-19,240.2830047607422,180964.0,94.4000015258789,320.8840026855469,30.0,1207.0999755859375,0.11,2097.449951171875,76.0,0.01660519034172677,61.37734227677054
2015-02-20,243.7790069580078,188985.5,94.25,320.8840026855469,30.0,1204.4000244140625,0.11,2110.300048828125,74.0,0.014444690551578291,60.73770729024976
2015-02-21,244.53399658203125,197007.0,94.3566665649414,320.8840026855469,30.0,1203.0333658854167,0.11,2110.086669921875,72.0,0.003092238871982713,58.79067698734172
2015-02-22,235.9770050048828,205028.5,94.46333312988281,320.8840026855469,30.0,1201.6667073567708,0.11,2109.873291015625,70.0,-0.035619980715916974,56.304123548756245
2015-02-23,238.8919982910156,213050.0,94.56999969482422,320.8840026855469,30.0,1200.300048828125,0.11,2109.659912109375,71.42857142857143,0.012277195944320576,59.460056851168304
2015-02-24,238.73500061035156,209487.75,94.48999786376952,320.8840026855469,30.0,1196.9000244140625,0.11,2115.47998046875,72.85714285714286,-0.0006574070841031705,59.5284173308416
